,,,,耗材/藥品庫存表,,,,,,,,,,,,,,,,,,,,,現在時間,2026/3/5 16:47,
分類,,,,,"安全
庫存",日期,,,,上月,,,,,,,,,,,本月,,,,60天內過期,2026/5/4 16:47,
請購,存放區,項目,細項,品名,數量,單位,規格,廠商,總量,大倉總量,有效期限,,,,,,,,,,本月大倉庫存總量,上月大倉使用量,盤點,提醒,最新效期,過期警示(期限低於60天),備註
-,,耗材,輸液,0.9% NaCl,30,包,30包/箱，500ml/包,濟生輸液,150,150,2028/7/30,,,,,,,,,,150,0,,,2028/7/30, ,
-,,耗材,輸液,美達研注射液(D50W),10,瓶,60瓶/盒，20ml/瓶,信東,48,48,2019/7/1,,,,,,,,,,48,0,,,2019/7/1,已過期或即將過期,
-,,耗材,輸液,L-RINGER'S,10,瓶,30瓶/箱，500ml/瓶,濟生輸液,20,20,2026/4/29,,,,,,,,,,20,0,,,2026/4/29,已過期或即將過期,
-,,耗材,棉球,棉球,5,袋,22g/包,騰旺,20,20,2020/8/20,,,,,,,,,,20,0,,,2020/8/20,已過期或即將過期,
-,,耗材,棉棒,棉棒(大),20,包,,嘉欣,199,199,2016/11/8,,,,,,,,,,199,0,,,2016/11/8,已過期或即將過期,
-,,耗材,棉棒,棉棒(小),20,包,,嘉欣,518,518,2016/10/28,,,,,,,,,,518,0,,,2016/10/28,已過期或即將過期,
請叫貨,,耗材,紗布,4x4脫脂紗布,25,包,40包/箱，100片/包,建齊,20,40,2030/5/5,2026/3/4,-20,,,,,,,,20,-20,,,2030/5/5, ,
-,,耗材,紗布,2x2脫脂紗布,10,包,50包/箱,卓和,45,45,2025/10/15,,,,,,,,,,45,0,,,2025/10/15,已過期或即將過期,
-,,耗材,生活用品,擦手紙,20,包,20包/箱,大潤發,33,50,2030/12/28,2026/3/5,-17,,,,,,,,33,-17,,,2030/12/28, ,
-,,耗材,生活用品,衛生紙,20,包,72包/箱,春風,24,72,2030/10/13,2026/3/5,-48,,,,,,,,24,-48,,,2030/10/13, ,
-,,耗材,中單,防水骨中單(AH9209),40,件,40件/箱,BioCover,60,60,2028/5/21,,,,,,,,,,60,0,,,2028/5/21, ,
請叫貨,,耗材,中單,防水中單(BC9225),30,件,60件/箱,BioCover,0,0,2025/10/5,,,,,,,,,,0,0,,,2025/10/5,已過期或即將過期,
-,,耗材,中單,手術薄膜,10,張,10張/盒,保盾,50,50,2024/8/30,,,,,,,,,,50,0,,,2024/8/30,已過期或即將過期,
-,,耗材,中單,洞巾 (BC9908),50,件,125件/箱,BioCover,174,174,2021/8/22,,,,,,,,,,174,0,,,2021/8/22,已過期或即將過期,
-,,耗材,手術裝,隔離衣,50,件,25件/包,Tyvek,78,78,2020/8/1,,,,,,,,,,78,0,,,2020/8/1,已過期或即將過期,
-,,耗材,手術裝,手術衣,40,件,40件/箱,BioCover,100,100,2030/9/5,,,,,,,,,,100,0,,,2030/9/5, ,
-,,耗材,手術裝,手術帽,10,盒,10盒/箱，50 個/盒,BioCover,14,14,2029/3/1,,,,,,,,,,14,0,,,2029/3/1, ,
-,,耗材,手術裝,手術帽(女帽),1,袋,100個/袋,,11,11,2026/7/10,,,,,,,,,,11,0,,,2026/7/10, ,
-,,耗材,手術裝,手術口罩(綁線),24,盒,24盒/箱，50 枚/盒,BioCover,159,159,2025/6/15,,,,,,,,,,159,0,,,2025/6/15,已過期或即將過期,
-,,耗材,手術裝,手術口罩(耳掛),24,盒,24盒/箱，50 枚/盒,BioCover,27,27,2030/1/13,,,,,,,,,,27,0,,,2030/1/13, ,
-,,耗材,手術裝,BP不織布鞋套,10,包,20包/箱，100雙/包,BP,33,33,2027/12/30,,,,,,,,,,33,0,,,2027/12/30, ,
-,,耗材,膠帶,3M 透氣膠布(大),5,個,6個/盒,3M,6,6,2025/6/18,,,,,,,,,,6,0,,,2025/6/18,已過期或即將過期,
請叫貨,,耗材,膠帶,3M 透氣膠布(小),12,個,12個/盒,3M,0,0,,,,,,,,,,,0,0,,,, ,
-,,耗材,膠帶,華新 透氣膠布,12,個,12個/盒,華新,48,48,2026/10/31,,,,,,,,,,48,0,,,2026/10/31, ,
-,,耗材,膠帶,醫用黏性膠帶,10,捲,20cm*10m，24卷/箱,揚克,20,20,2019/5/8,,,,,,,,,,20,0,,,2019/5/8,已過期或即將過期,
-,,耗材,膠帶,醫用黏性膠帶,10,捲,20cm*10m，24卷/箱,全和,11,11,2020/7/5,,,,,,,,,,11,0,,,2020/7/5,已過期或即將過期,
-,,耗材,手套,6號無菌手套,2,盒,15盒/箱，24雙/盒,華新,4,4,2019/1/1,,,,,,,,,,4,0,,,2019/1/1,已過期或即將過期,
-,,耗材,手套,6.5號無菌手套,2,盒,6盒/箱，50雙/盒,華新,4,4,2020/2/1,,,,,,,,,,4,0,,,2020/2/1,已過期或即將過期,
請叫貨,,耗材,手套,7號無菌手套,2,盒,6盒/箱，50雙/盒,華新,2,3,2026/2/28,2026/3/4,-1,,,,,,,,2,-1,,,2026/2/28,已過期或即將過期,
請叫貨,,耗材,手套,7.5號無菌手套,2,盒,6盒/箱，50雙/盒,華新,1,1,2028/1/30,,,,,,,,,,1,0,,,2028/1/30, ,
請叫貨,,耗材,手套,8號無菌手套,1,盒,6盒/箱，50雙/盒,華新,1,1,2020/7/1,,,,,,,,,,1,0,,,2020/7/1,已過期或即將過期,
-,,耗材,手套,一般手套 size:L(有粉),2,盒,10盒/箱，100雙/盒,Deatal Island,3,5,2029/2/17,2026/3/2,-2,,,,,,,,3,-2,,,2029/2/17, ,
-,,耗材,手套,一般手套 size:M(無粉),2,盒,10盒/箱，100雙/盒,PROTOS,5,6,2029/9/10,2026/3/2,-1,,,,,,,,5,-1,,,2029/9/10, ,
請叫貨,,耗材,手套,一般手套 size:S (有粉),5,盒,10盒/箱，100雙/盒,PROTOS,0,0,2024/11/10,,,,,,,,,,0,0,,,2024/11/10,已過期或即將過期,
請叫貨,,耗材,手套,一般手套 size:S (無粉),5,盒,10盒/箱，100雙/盒,Maslee,5,9,2030/7/15,2026/3/2,-4,,,,,,,,5,-4,,,2030/7/15, ,
-,,耗材,其他,"防塵墊24""*36""",1,盒,30張/本，10本/盒,遠宏醫療,2,2,,,,,,,,,,,2,0,,,, ,
請叫貨,,耗材,縫線,Polysorb 1 角針 (CL-936),36,條,40mm，36個/盒,Covidien,6,6,2022/7/31,,,,,,,,,,6,0,,,2022/7/31,已過期或即將過期,
請叫貨,,耗材,縫線,Polysorb 0 角針 (CL-933),12,條,40mm，36個/盒,Covidien,0,0,2025/12/31,,,,,,,,,,0,0,,,2025/12/31,已過期或即將過期,
-,,耗材,縫線,Polysorb 2-0 圓針 (CL-923),12,條,37mm，36個/盒,Covidien,72,72,2029/9/30,,,,,,,,,,72,0,,,2029/9/30, ,
請叫貨,,耗材,縫線,Polysorb 2-0 角針 (CL-916),12,條,37mm，36個/盒,Covidien,0,0,2028/5/31,,,,,,,,,,0,0,,,2028/5/31, ,
-,,耗材,縫線,Polysorb 3-0 圓針 (GL-122),12,條,26mm，36個/盒,Covidien,27,27,2029/10/31,,,,,,,,,,27,0,,,2029/10/31, ,
-,,耗材,縫線,Surgipo 3-0 圓針 (VP-522-X),12,條,26mm，36個/盒,Covidien,36,36,2023/10/31,,,,,,,,,,36,0,,,2023/10/31,已過期或即將過期,
-,,耗材,縫線,Surgipo 3-0 圓針 (VP-558-X),12,條,17mm，36個/盒,Covidien,39,39,2017/7/1,,,,,,,,,,39,0,,,2017/7/1,已過期或即將過期,
請叫貨,,耗材,縫線,Surgipo 4-0 圓針 (VP-557-X),12,條,17mm，36個/盒,Covidien,0,0,2018/6/1,,,,,,,,,,0,0,,,2018/6/1,已過期或即將過期,
請叫貨,,耗材,縫線, Nylon 1 角針 (CN-793),12,條,90mm，36個/盒,Covidien,5,5,2022/10/31,,,,,,,,,,5,0,,,2022/10/31,已過期或即將過期,
