名稱,規格,品類代碼,子類代碼,單位,追蹤批號,追蹤效期,安全庫存,備註
0.9% NaCl(濟生輸液),30包/箱，500ml/包,,,包,true,true,30,廠商: 濟生輸液
美達研注射液(D50W)(信東),60瓶/盒，20ml/瓶,,,瓶,true,true,10,廠商: 信東
L-RINGER'S(濟生輸液),30瓶/箱，500ml/瓶,,,瓶,true,true,10,廠商: 濟生輸液
棉球(騰旺),22g/包,,,袋,true,true,5,廠商: 騰旺
棉棒(大)(嘉欣),,,,包,true,true,20,廠商: 嘉欣
棉棒(小)(嘉欣),,,,包,true,true,20,廠商: 嘉欣
4x4脫脂紗布(建齊),40包/箱，100片/包,,,包,true,true,25,廠商: 建齊
2x2脫脂紗布(卓和),50包/箱,,,包,true,true,10,廠商: 卓和
擦手紙(大潤發),20包/箱,,,包,true,true,20,廠商: 大潤發
衛生紙(春風),72包/箱,,,包,true,true,20,廠商: 春風
防水骨中單(AH9209)(BioCover),40件/箱,,,件,true,true,40,廠商: BioCover
防水中單(BC9225)(BioCover),60件/箱,,,件,true,true,30,廠商: BioCover
手術薄膜(保盾),10張/盒,,,張,true,true,10,廠商: 保盾
洞巾 (BC9908)(BioCover),125件/箱,,,件,true,true,50,廠商: BioCover
隔離衣(Tyvek),25件/包,,,件,true,true,50,廠商: Tyvek
手術衣(BioCover),40件/箱,,,件,true,true,40,廠商: BioCover
手術帽(BioCover),10盒/箱，50 個/盒,,,盒,true,true,10,廠商: BioCover
手術帽(女帽),100個/袋,,,袋,true,true,1,
手術口罩(綁線)(BioCover),24盒/箱，50 枚/盒,,,盒,true,true,24,廠商: BioCover
手術口罩(耳掛)(BioCover),24盒/箱，50 枚/盒,,,盒,true,true,24,廠商: BioCover
BP不織布鞋套(BP),20包/箱，100雙/包,,,包,true,true,10,廠商: BP
3M 透氣膠布(大)(3M),6個/盒,,,個,true,true,5,廠商: 3M
3M 透氣膠布(小)(3M),12個/盒,,,個,true,true,12,廠商: 3M
華新 透氣膠布(華新),12個/盒,,,個,true,true,12,廠商: 華新
醫用黏性膠帶(揚克),20cm*10m，24卷/箱,,,捲,true,true,10,廠商: 揚克
醫用黏性膠帶(全和),20cm*10m，24卷/箱,,,捲,true,true,10,廠商: 全和
6號無菌手套(華新),15盒/箱，24雙/盒,,,盒,true,true,2,廠商: 華新
6.5號無菌手套(華新),6盒/箱，50雙/盒,,,盒,true,true,2,廠商: 華新
7號無菌手套(華新),6盒/箱，50雙/盒,,,盒,true,true,2,廠商: 華新
7.5號無菌手套(華新),6盒/箱，50雙/盒,,,盒,true,true,2,廠商: 華新
8號無菌手套(華新),6盒/箱，50雙/盒,,,盒,true,true,1,廠商: 華新
一般手套 size:L(有粉)(Deatal Island),10盒/箱，100雙/盒,,,盒,true,true,2,廠商: Deatal Island
一般手套 size:M(無粉)(PROTOS),10盒/箱，100雙/盒,,,盒,true,true,2,廠商: PROTOS
一般手套 size:S (有粉)(PROTOS),10盒/箱，100雙/盒,,,盒,true,true,5,廠商: PROTOS
一般手套 size:S (無粉)(Maslee),10盒/箱，100雙/盒,,,盒,true,true,5,廠商: Maslee
"防塵墊24""*36""(遠宏醫療)",30張/本，10本/盒,,,盒,true,true,1,廠商: 遠宏醫療
Polysorb 1 角針 (CL-936)(Covidien),40mm，36個/盒,,,條,true,true,36,廠商: Covidien
Polysorb 0 角針 (CL-933)(Covidien),40mm，36個/盒,,,條,true,true,12,廠商: Covidien
Polysorb 2-0 圓針 (CL-923)(Covidien),37mm，36個/盒,,,條,true,true,12,廠商: Covidien
Polysorb 2-0 角針 (CL-916)(Covidien),37mm，36個/盒,,,條,true,true,12,廠商: Covidien
Polysorb 3-0 圓針 (GL-122)(Covidien),26mm，36個/盒,,,條,true,true,12,廠商: Covidien
Surgipo 3-0 圓針 (VP-522-X)(Covidien),26mm，36個/盒,,,條,true,true,12,廠商: Covidien
Surgipo 3-0 圓針 (VP-558-X)(Covidien),17mm，36個/盒,,,條,true,true,12,廠商: Covidien
Surgipo 4-0 圓針 (VP-557-X)(Covidien),17mm，36個/盒,,,條,true,true,12,廠商: Covidien
Nylon 1 角針 (CN-793)(Covidien),90mm，36個/盒,,,條,true,true,12,廠商: Covidien
Nylon 2-0角針(SN-688)(NC-302)(Covidien),30mm，36個/盒,,,條,true,true,36,廠商: Covidien
Nylon 1/0 角針 (NC301)(佳合),30mm，24個/盒,,,條,true,true,24,廠商: 佳合
Nylon 0 角針 (NC4001)(佳合),40mm，12個/盒,,,條,true,true,12,廠商: 佳合
